,BeachCountry,BeachName,BeachRegionalSea,BeachLength_m,BeachType,G1,G3,G4,G5,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G40,G41,G42,G43,G44,G45,G46,G47,G49,G50,G52,G53,G54,G56,G57,G58,G59,G60,G62,G63,G64,G65,G66,G67,G68,G69,G70,G71,G72,G73,G76,G77,G79,G80,G82,G83,G84,G85,G86,G87,G88,G89,G90,G91,G92,G93,G95,G96,G97,G98,G99,G100,G101,G102,G124,G125,G126,G127,G128,G129,G130,G131,G132,G133,G134,G137,G138,G139,G140,G141,G142,G143,G144,G145,G147,G148,G150,G151,G152,G153,G154,G155,G156,G158,G159,G160,G161,G162,G163,G164,G165,G166,G167,G171,G172,G174,G175,G176,G177,G178,G179,G180,G181,G182,G184,G186,G187,G188,G189,G190,G191,G193,G194,G195,G198,G199,G200,G201,G202,G203,G204,G205,G206,G207,G208,G210,G211,G213
10,France,"12 Promenade Pierre D?port, 14150 Ouistreham, France",North-east Atlantic Ocean,72,,,10.0,,,,10.0,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,10.0,,,,,,,,,,1.0,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,50.0,,,
11,,"Avenue Lieutenant colonel faro, 19000 Tulle, France",,78,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,5.0,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,20.0,,,,,,,,,,,
12,Bulgaria,Bolata,Black Sea,166,Other (mixed),,1.0,2.0,,3.0,,,2.0,,,,,,,,,,7.0,,,,,,87.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Switzerland,sorne_birse_WWFJura,,16,Pebbels,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,38.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,13.0,,,
14,Switzerland,sorne_birse_WWFJura,,16,Pebbels,,1.0,2.0,,1.0,,,,,,,,,,,,,3.0,,,,,,5.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,
15,Switzerland,sorne_birse_WWFJura,,16,Pebbels,,,,,1.0,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,3.0,1.0,,1.0,,,,,,,,,,21.0,,,
16,Bulgaria,obzor detski lager,Black Sea,2805,Sandy,,19.0,7.0,,13.0,20.0,3.0,2.0,1.0,3.0,,1.0,2.0,,,1.0,,53.0,4.0,33.0,,3.0,9.0,20.0,1.0,,15.0,,8.0,23.0,1.0,10.0,,,,,,,,,,,4.0,1.0,1.0,,,2.0,,,,,,,,,,,,,,3.0,,1.0,23.0,2.0,17.0,,,,,,,,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,2.0,,1.0,1.0,,,,,5.0,,,,,1.0,1.0,1.0,4.0,,4.0,1.0,5.0,2.0,,,,,,,,,,,,2.0,12.0,,,2.0,,,,,,1.0,,,,,,,,,,,1.0,1.0,1.0,,2.0,3.0,,,,,,
17,Georgia,Maltakva,Black Sea,52,Sandy,,11.0,,,46.0,24.0,12.0,21.0,,4.0,,3.0,,1.0,5.0,,3.0,48.0,6.0,10.0,,,13.0,,2.0,4.0,21.0,9.0,10.0,14.0,,9.0,,,,,,,,,,,,6.0,,,,,,,,,,,,3.0,,,,,2.0,,,4.0,51.0,34.0,,,,,,,,,,17.0,,,,,,,,,2.0,12.0,,8.0,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,,,
18,Georgia,Maltakva,Black Sea,52,Sandy,,20.0,,,35.0,26.0,20.0,7.0,,6.0,,1.0,,10.0,4.0,,4.0,26.0,25.0,,,2.0,7.0,30.0,,,10.0,12.0,3.0,11.0,,7.0,,,,,,,,,,,,14.0,,,,2.0,,,,,,,,,,5.0,,,1.0,6.0,,16.0,,1.0,72.0,,40.0,,,,,,,41.0,,,,,,3.0,,2.0,3.0,10.0,,,,,1.0,,,,,4.0,,,,,,,,,,,,2.0,,1.0,,,2.0,,,,5.0,,,,,,,,,,,1.0,1.0,,9.0,,,,,,,,,,,,,,,,,,,,5.0,,1.0,,,,,,2.0,,,
19,Georgia,Maltakva,Black Sea,52,Sandy,,48.0,,,46.0,41.0,17.0,8.0,,,,,,5.0,1.0,,1.0,89.0,,15.0,8.0,,5.0,,,,21.0,6.0,10.0,5.0,,,,1.0,,,,,,,,,,12.0,,,,,,,,,,,,,,16.0,,1.0,4.0,7.0,,6.0,95.0,1.0,135.0,6.0,,,,,,,1.0,44.0,,,,,5.0,10.0,,,8.0,22.0,,3.0,,1.0,,,,,,,,,1.0,,,,,,,,,3.0,,7.0,,,,,,,,,,,,,,,,,,5.0,,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,5.0,,
20,France,"Piscine, 63 Avenue de la Combattante, 14470 Courseulles-sur-Mer, France",North-east Atlantic Ocean,72,,,10.0,,,,,,10.0,,,,,,,,,,15.0,,,,,,20.0,,,,20.0,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,5.0,3.0,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,5.0,,3.0,,,,,,,,,,,
21,Italy,Marina di Castagneto,Mediterranean Sea,111,,6.0,2.0,2.0,2.0,6.0,6.0,2.0,6.0,2.0,2.0,,,,1.0,2.0,1.0,,6.0,6.0,6.0,6.0,2.0,2.0,18.0,1.0,1.0,6.0,6.0,2.0,6.0,6.0,6.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,,1.0,4.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,,,2.0,2.0,18.0,18.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,15.0,,4.0,,1.0,3.0,,1.0,2.0,3.0,3.0,,,,,2.0,,,12.0,1.0,1.0,1.0,,,2.0,,,2.0,5.0,,2.0,2.0,,2.0,,,,,12.0,2.0,2.0,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,12.0,12.0,12.0,12.0,2.0,,2.0,6.0,2.0,,,1.0,,1.0,,,,,2.0,2.0,4.0,4.0,,4.0,,,1.0,1.0,1.0,1.0,,
22,France,"2736 Boulevard de la Marine, 83400 Hyères, France",Mediterranean Sea,81,,,221.0,,,23.0,10.0,,237.0,,,,,,,,,,94.0,,,,,,242.0,,,35.0,12.0,,115.0,,35.0,,,,,,,,,,,,,,,,15.0,,,13.0,,,,,,,,,,,5.0,,,,,6.0,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.0,,,,,,,,,,,,,,,,,,1.0,,33.0,,,,,,,,20.0,,,
23,Spain,"Carretera Cartagena Los Alcázares, 30710 Los Alcázares, Espagne",Mediterranean Sea,90,,,40.0,,,6.0,19.0,,47.0,,,,,,,,,,77.0,,,,,,28.0,,,22.0,2.0,2.0,58.0,3.0,29.0,,,,,,,,,,,,6.0,,,,16.0,,,,,,,,,,,,,,3.0,,,,,35.0,,55.0,,,,,,,,,,,,,,,,,3.0,,,,3.0,,,,,1.0,,,,,6.0,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,91.0,,,,,,,,,,,,,,,,,,14.0,,35.0,,,,,,,,20.0,,,
